1918	23
1919	24
1920	25
1921	26
1922	27
1923	28
1924	29
1925	30
1926	31
1927	32
1928	33
1929	34
1930	35
1931	36
1932	37
1933	38
1934	39
1935	40
1936	23
1937	24
1938	25
1939	26
1940	27
1941	28
1942	29
1943	30
1944	31
1945	32
1946	33
1947	34
1948	35
1949	36
1950	37
1951	38
1952	39
1953	40
1954	23
1955	24
1956	25
1957	26
1958	27
1959	28
1960	29
1961	30
1962	31
1963	32
1964	33
1965	34
1966	35
1967	36
1968	37
1969	38
1970	39
1971	40
1972	23
1973	24
1974	25
1975	26
1976	27
1977	28
1978	29
1979	30
1980	31
1981	32
1982	33
1983	34
1984	35
1985	36
1986	37
1987	38
1988	39
1989	40
1990	41
1991	42
1992	43
1993	44
1994	45
1995	25
1996	26
1997	27
1998	28
1999	29
2000	30
2001	31
2002	32
2003	33
2004	34
2005	35
2006	36
2007	37
2008	38
2009	39
2010	40
2011	41
2012	42
2013	43
2014	44
2015	45
2016	34
2017	45
2018	21
